text,lang,id,createdAt,userId,hashtags,userScreenName,retweetedToId,obs
Barcelona  💔💔💔,pt,898271023237169000,2017-08-17T19:51:15Z,854152740,,MarcyDavis5,,1
Barcelona 💔,pt,898295962564792000,2017-08-17T21:30:21Z,262316163,,amye1984,,1
#Barcelona,und,898307438163747000,2017-08-17T22:15:57Z,2718793737,Barcelona,berta4924,,1
#Barcelona ❤️❤️❤️❤️❤️,und,898297602516452000,2017-08-17T21:36:52Z,2743935112,Barcelona,summernights_1D,,1
Barcelona 🙏🏾🙏🏾,pt,898292351264752000,2017-08-17T21:16:00Z,437798476,,RichoThee_Man,,1
Barcelona 💔💔💔😭,pt,898289411036652000,2017-08-17T21:04:19Z,219384466,,BethanyGalloway,,1
#Barcelona ♥️,und,898287364249924000,2017-08-17T20:56:11Z,785422796620984000,Barcelona,erinjxnes_,,1
💔 #Barcelona,und,898221874366341000,2017-08-17T16:35:57Z,238085258,Barcelona,Vrg86,,1
#Barcelona,und,898224432900170000,2017-08-17T16:46:07Z,883711442809217000,Barcelona,klk_miguel,,1
#Barcelona ❤️,und,898224537753539000,2017-08-17T16:46:32Z,394849933,Barcelona,Nadia_VillalbaB,,1
😞😔 Barcelona😐😕😢,pt,898217994635104000,2017-08-17T16:20:32Z,265055372,,FriSanCam,,1
Barcelona 😞,pt,898219814963094000,2017-08-17T16:27:46Z,47297024,,djleoblanco,,1
Barcelona. 💔,pt,898214752429761000,2017-08-17T16:07:39Z,36012286,,LizMozo,,1
#Barcelona,und,898221555599258000,2017-08-17T16:34:41Z,404242283,Barcelona,Perroaytomadrid,,1
Barcelona ❤️,pt,898222700648333000,2017-08-17T16:39:14Z,3028262103,,sagaaaaal,,1
Barcelona 😂😂😂😂😂😂😂🚮🚮🚮🚮🚮🚮🚮,pt,896851335194268000,2017-08-13T21:49:55Z,1473745292,,_paulalejandro,,1
🙏🏽🙏🏽🙏🏽 Barcelona,pt,898322898384847000,2017-08-17T23:17:23Z,832942839344476000,,PolyByDesign,,1
Barcelona 💔,pt,898347351181410000,2017-08-18T00:54:33Z,314482401,,Louvelita,,1
#Barcelona 💔,und,898229591885664000,2017-08-17T17:06:37Z,79447879,Barcelona,mrscccrawford,,1
#Barcelona ❤️,und,898226714593178000,2017-08-17T16:55:11Z,803125609,Barcelona,wilma_felicia,,1
❤️ Barcelona,pt,898235749119799000,2017-08-17T17:31:05Z,134075869,,josepjulia,,1
Barcelona ❤,pt,898258247382999000,2017-08-17T19:00:29Z,252634005,,stephanie_is,,1
#Barcelona 😔,und,898244469077799000,2017-08-17T18:05:44Z,842791455622124000,Barcelona,ilkanahasanli22,,1
Barcelona 🌹🌹🌹😢😢😢,pt,898228274878349000,2017-08-17T17:01:23Z,2873979121,,JustineVillemin,,1
Barcelona 💛,pt,898267885889495000,2017-08-17T19:38:47Z,3409154067,,mastersugg,,1
Barcelona ❤️💛❤️,pt,898267013461623000,2017-08-17T19:35:19Z,816065575151633000,,vickck1,,1
Barcelona!,pt,898251913975788000,2017-08-17T18:35:19Z,762532893931471000,,Lauraziegler20,,1
Barcelona 😡😱😰,pt,898240769705869000,2017-08-17T17:51:02Z,2904206241,,marcin23jordan,,1
#Barcelona,und,898266107504583000,2017-08-17T19:31:43Z,898265511556940000,Barcelona,Fufu75130568,,1
barcelona❤💛,pt,898245672868229000,2017-08-17T18:10:31Z,502118943,,HarlowHannah,,1
barcelona😔😔😔,pt,898450065471275000,2017-08-18T07:42:42Z,725352123081319000,,Enzo_Trap,,1
Barcelona 📍,pt,895911190353891000,2017-08-11T07:34:07Z,1100971879,,GuillaumeLevc,,1
Barcelona 💪,pt,896824856548958000,2017-08-13T20:04:42Z,372482122,,ElChecha14,,1
Barcelona 💔,pt,898304070141837000,2017-08-17T22:02:34Z,277157559,,Joeve17,,1
Barcelona💙,pt,898309644367545000,2017-08-17T22:24:43Z,265068454,,BernatJaume,,1
Barcelona...,pt,898469564786332000,2017-08-18T09:00:11Z,3187470418,,hstspolaroid,,1
Barcelona 😭,pt,898214991530259000,2017-08-17T16:08:36Z,125446338,,GenderGirl,,1
#Barcelona,und,898222851634995000,2017-08-17T16:39:50Z,835814240665633000,Barcelona,Vikriiiiiiii,,1
#Barcelona 💔,und,898222394481005000,2017-08-17T16:38:01Z,219120088,Barcelona,Denise_Rawls,,1
Barcelona.,pt,898215192861057000,2017-08-17T16:09:24Z,262048682,,0scarLuviano,,1
Barcelona.... 😧,pt,898214026840338000,2017-08-17T16:04:46Z,263264035,,bunnyflwr,,1
Barcelona 😫😫😫😫,pt,898211011131519000,2017-08-17T15:52:47Z,480658159,,Liekeoriginal,,1
💙💙💙💙💙#barcelona,und,898235543607227000,2017-08-17T17:30:16Z,846781515115774000,barcelona,Laurablancosan2,,1
#Barcelona,und,898249493857960000,2017-08-17T18:25:42Z,897369177928991000,Barcelona,Sare277,,1
#Barcelona ❤🙏🏻,und,898257517561602000,2017-08-17T18:57:35Z,191230210,Barcelona,ran1976,,1
#Barcelona 🙏,und,898269035128693000,2017-08-17T19:43:21Z,211631563,Barcelona,JKN84,,1
barcelona ❤️,pt,898241822488711000,2017-08-17T17:55:13Z,2765699747,,teddysugg,,1
Barcelona?!? 😢,pt,898243911243706000,2017-08-17T18:03:31Z,62508199,,DameKimK,,1
Barcelona 🌹,pt,898268615673340000,2017-08-17T19:41:41Z,1833106848,,Pauline_Gracia,,1
Barcelona😢,pt,898232204932895000,2017-08-17T17:17:00Z,20926126,,Jenka80,,1
Barcelona ❤,pt,898509058382213000,2017-08-18T11:37:07Z,419004620,,dilkadoctor83,,1
Barcelona,pt,897822534690902000,2017-08-16T14:09:07Z,897279180454363000,,d6OFBxTNymtbiLZ,,1
BarceLona.,pt,897953522792022000,2017-08-16T22:49:37Z,1010901894,,Madridise,,1
barceLona,pt,897940616906240000,2017-08-16T21:58:20Z,373984268,,lekkiteam,,1
Barcelona,pt,900504787912762000,2017-08-23T23:47:26Z,860179936920965000,,gonpuevictor18,,1
Barcelona🎧,pt,902870970951582000,2017-08-30T12:29:48Z,740820747908682000,,jeffalcozer2003,,1
barcelona,pt,898328061581472000,2017-08-17T23:37:54Z,321433332,,felipematarile,,1
Barcelona 💔💔,pt,898344209651868000,2017-08-18T00:42:04Z,2620917824,,otherrosesgirl,,1
#Barcelona,und,898383740942135000,2017-08-18T03:19:09Z,142093155,Barcelona,mariadla_paz,,1
Barcelona 🖤,pt,898389055150342000,2017-08-18T03:40:16Z,4684464768,,FahriAyan4,,1
Barcelona 💔,pt,898256548673335000,2017-08-17T18:53:44Z,300760014,,melrusson01,,1
Barcelona😢😩,pt,898233949767569000,2017-08-17T17:23:56Z,3083937080,,PozoYanire,,1
#Barcelona 😥,und,898265327372354000,2017-08-17T19:28:37Z,2848517279,Barcelona,SandraPlewko,,1
:(  ;(  #Barcelona ...,und,898229520578302000,2017-08-17T17:06:20Z,376623666,Barcelona,BilinNeyapti,,1
👿👹#Barcelona,und,898264144553534000,2017-08-17T19:23:55Z,159605178,Barcelona,Sontracy20,,1
Barcelona 💔,pt,898268695402869000,2017-08-17T19:42:00Z,38116390,,beforelately,,1
Barcelona 😢😢💔💔💔,pt,898257135896855000,2017-08-17T18:56:04Z,30296593,,nickihayhurst,,1
#Barcelona,und,898231168939819000,2017-08-17T17:12:53Z,718135277076812000,Barcelona,vheilbraun1,,1
BARCELONA 🙏,pt,898242950756520000,2017-08-17T17:59:42Z,768367025437770000,,Bexpat_uk,,1
BARCELONA😭😭💔💔💔,pt,898258926830985000,2017-08-17T19:03:11Z,843809383,,fcbz10,,1
Barcelona ❤️❤️❤️,pt,898248713700754000,2017-08-17T18:22:36Z,853224141591335000,,CraigSm42772424,,1
#Barcelona 💔,und,898251184150114000,2017-08-17T18:32:25Z,170481894,Barcelona,hannahlfenton,,1
Barcelona 🙏🏾,pt,898241629533897000,2017-08-17T17:54:27Z,2846665781,,sattydhruv,,1
❤️❤️❤️❤️ #Barcelona❤️❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,und,898214928582152000,2017-08-17T16:08:21Z,30413539,Barcelona,Kevin_Healey,,1
Barcelona 💔,pt,898218917386224000,2017-08-17T16:24:12Z,2338905782,,DrewqBieber,,1
🙏🏿🙏🏽🙏🏻#Barcelona 🙏🏻🙏🏽🙏🏿,und,898214878275654000,2017-08-17T16:08:09Z,379879455,Barcelona,Rozw2od,,1
Barcelona 💔,pt,898218854480044000,2017-08-17T16:23:57Z,508010369,,soycabuernigu,,1
Barcelona 😂😂😂😂,pt,897936519075439000,2017-08-16T21:42:03Z,471857157,,SlizIam,,1
#Barcelona ❤🇪🇸,und,898270641538744000,2017-08-17T19:49:44Z,839171149363876000,Barcelona,Mini_Meady,,1
#Barcelona :((,und,898281949394907000,2017-08-17T20:34:40Z,1167303482,Barcelona,09051071,,1
Barcelona ❤🤕😭🌟,pt,898302283384898000,2017-08-17T21:55:28Z,848308774062391000,,maionese_gosto,,1
...Barcelona,pt,898295178213049000,2017-08-17T21:27:14Z,3065766537,,raiidou,,1
Barcelona 💔,pt,898272537347596000,2017-08-17T19:57:16Z,222774907,,MrMike_W,,1
#Barcelona 💔,und,898299607389688000,2017-08-17T21:44:50Z,560343020,Barcelona,Nymeria7,,1
Barcelona 💔,pt,898476439271613000,2017-08-18T09:27:30Z,274923149,,HelsElizabeth,,1
Barcelona 🙏🏼😞,pt,898437990069936000,2017-08-18T06:54:43Z,461306344,,andreiafperez,,1
Barcelona 🙏,pt,898426564798423000,2017-08-18T06:09:19Z,712072905270567000,,ekkasftri,,1
Barcelona!,pt,900125236921684000,2017-08-22T22:39:14Z,2892785360,,tinilibintwilb,,1
Barcelona,pt,900375825652097000,2017-08-23T15:14:59Z,900371899502535000,,SaviorlarAbayo1,,1
#barcelona,und,901370077001519000,2017-08-26T09:05:47Z,901356126326981000,barcelona,wail_tadrent,,1
Barcelona......😢,pt,898216912521495000,2017-08-17T16:16:14Z,3127653851,,kirian54,,1
Barcelona 💔,pt,898224604849861000,2017-08-17T16:46:48Z,236814266,,pradaswiftx,,1
Barcelona 🙏🏽❤️,pt,898216434349871000,2017-08-17T16:14:20Z,1923680562,,alannahlocoo,,1
Barcelona 💔,pt,898318695683957000,2017-08-17T23:00:41Z,33833883,,oz_rockchick,,1
Barcelona😔,pt,898360902960824000,2017-08-18T01:48:24Z,3041341405,,rexxsiu,,1
#Barcelona 😢😞,und,898576339174863000,2017-08-18T16:04:28Z,889517016352268000,Barcelona,ClementMoi1,,1
BArceLONa!..😂😂😂,pt,896852174063497000,2017-08-13T21:53:15Z,3325302837,,mevlut_senel,,1
Barcelona 💙❤️,pt,896828937640313000,2017-08-13T20:20:55Z,406268310,,Dalmutairy,,1
🙏 #barcelona,und,898228740437791000,2017-08-17T17:03:14Z,822945643681514000,barcelona,candiedpink,,1
#Barcelona ❤💙,und,898234687973360000,2017-08-17T17:26:52Z,1226379234,Barcelona,_DarwinPZ,,1
Barcelona🙏,pt,898250110412272000,2017-08-17T18:28:09Z,856658387466990000,,MIRANDA60671040,,1
Barcelona 💔😔,pt,898262085175452000,2017-08-17T19:15:44Z,309909805,,absdadon,,1
Barcelona,pt,898283958475133000,2017-08-17T20:42:39Z,31364815,,fra_mercanti,,1
BARCELONA .... 😭😭😭,pt,898280418457211000,2017-08-17T20:28:35Z,546816731,,JoseGarciaOff,,1
barcelona,pt,898308725827527000,2017-08-17T22:21:04Z,126961176,,turcobarrabas,,1
🙏🏼 #Barcelona,und,898305437480694000,2017-08-17T22:08:00Z,592685440,Barcelona,motathought,,1
#Barcelona,und,898272449296466000,2017-08-17T19:56:55Z,843551944501314000,Barcelona,bymatrix51,,1
#Barcelona 💔💔,und,898280468805595000,2017-08-17T20:28:47Z,273634276,Barcelona,andrea_knarias,,1
#Barcelona 💔,und,898293680871678000,2017-08-17T21:21:17Z,260846679,Barcelona,tatisaurus,,1
#Barcelona❤️,und,898285967529972000,2017-08-17T20:50:38Z,815730666,Barcelona,petrolhero4,,1
Barcelona. ❤,pt,898279541864628000,2017-08-17T20:25:06Z,4465529655,,kmccomb95,,1
Barcelona ☹️,pt,898275146217042000,2017-08-17T20:07:38Z,185445220,,FeerHO_fc,,1
Barcelona 🙏🏼❤️,pt,898446299011461000,2017-08-18T07:27:44Z,898197559029752000,,SaskiaGillard,,1
Barcelona 😂😂😂😂,pt,897935629916324000,2017-08-16T21:38:31Z,1061411341,,TIJAANIII,,1
#Barcelona 😦,und,898335158310322000,2017-08-18T00:06:06Z,793754070846730000,Barcelona,augu_bln,,1
🇨🇦❤️🇪🇸 #Barcelona,und,898318439844008000,2017-08-17T22:59:40Z,145290030,Barcelona,goldenstephanie,,1
Barcelona 🙏🏻😔,pt,898255865022521000,2017-08-17T18:51:01Z,295798867,,clowes7,,1
#Barcelona,und,898226496510341000,2017-08-17T16:54:19Z,1919991180,Barcelona,Clantastic,,1
#Barcelona 🙏🙏🙏,und,898250978662547000,2017-08-17T18:31:36Z,111890752,Barcelona,Giallorosso1905,,1
Barcelona 💔,pt,898242871052120000,2017-08-17T17:59:23Z,560201719,,carmenvizoso,,1
🙏 #Barcelona,und,898249812625064000,2017-08-17T18:26:58Z,2925267993,Barcelona,NappyDfs,,1
#Barcelona 🇪🇸🙏🏼,und,898233735841288000,2017-08-17T17:23:05Z,851078982657348000,Barcelona,camiille_lcb,,1
Barcelona :/,pt,898243902850740000,2017-08-17T18:03:29Z,780634331765052000,,bria4loka,,1
#Barcelona 💔,und,898250970265657000,2017-08-17T18:31:34Z,2324156695,Barcelona,_XStupidthingsX,,1
Barcelona 💗,pt,898236051109630000,2017-08-17T17:32:17Z,2758277029,,Adv_w_Snowflake,,1
Barcelona 💔,pt,898263087610049000,2017-08-17T19:19:43Z,2841836092,,tbhrocio,,1
"Barcelona
😢",pt,898257563703169000,2017-08-17T18:57:46Z,10641352,,ImaVeggie,,1
#Barcelona #❤,und,898289847248409000,2017-08-17T21:06:03Z,2342601313,Barcelona,MrsEnaeco,,1
Barcelona 💔🇪🇸,pt,898310609044996000,2017-08-17T22:28:33Z,884516381315785000,,MarylouHariot,,1
Barcelona 😓💔,pt,898289989871518000,2017-08-17T21:06:37Z,169853959,,chloegreen_,,1
Barcelona 💔,pt,898308927150076000,2017-08-17T22:21:52Z,276927899,,xanthi_g,,1
🇫🇷❤🇪🇸 #Barcelona,und,898303772350456000,2017-08-17T22:01:23Z,2192670678,Barcelona,cece_lem,,1
Barcelona ❤️,pt,898277444695671000,2017-08-17T20:16:46Z,281148499,,lavensonadora,,1
Barcelona ❤😢,pt,898275787933180000,2017-08-17T20:10:11Z,837713853643440000,,EmmyAdams16,,1
#Barcelona ❤😭,und,898285644585333000,2017-08-17T20:49:21Z,281864095,Barcelona,camicstellanos,,1
Barcelona🇪🇸🙏🏼,pt,898538359760597000,2017-08-18T13:33:33Z,3001630112,,cha_tms,,1
Barcelona 💔🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,pt,898506181085418000,2017-08-18T11:25:41Z,78532039,,ABYsyosa,,1
Barcelona :(((,pt,898211065657532000,2017-08-17T15:53:00Z,64681587,,Hana_Adachi_,,1
Barcelona....,pt,898209597638550000,2017-08-17T15:47:10Z,28443170,,kerryact,,1
Barcelona 💔💔💔💔,pt,898221064857293000,2017-08-17T16:32:44Z,111928807,,Emily_Hewett,,1
#Barcelona,und,898212227479634000,2017-08-17T15:57:37Z,279847211,Barcelona,SimonBailey1210,,1
Barcelona 💔💔,pt,898220209240240000,2017-08-17T16:29:20Z,1495645548,,MiriamEstero16,,1
BARCELONA 🖤,pt,899364184693101000,2017-08-20T20:15:05Z,2766978167,,elEfimeroFestin,,1
Barcelona,pt,900463151040299000,2017-08-23T21:01:59Z,900382202940338000,,Adeolu79033249,,1
Barcelona.. Barcelona.. 💔,und,898245941270106000,2017-08-17T18:11:35Z,128039798,,Noridaoficial,,1
@prollycalli BARCELONA BARCELONA BARCELONA,und,902675818375086000,2017-08-29T23:34:20Z,725229758,,pepperfriesen,,1
@Ryan_Marchh @Josh_Green1 Barcelona Barcelona Barcelona 🇪🇸🇪🇸🇪🇸,und,894182503765996000,2017-08-06T13:04:56Z,220981163,,JamesCromwell1,,1
Ai Barcelona Barcelona,und,897945050310558000,2017-08-16T22:15:57Z,2366077675,,portoemerda,,1
Pray for Barcelona ❤️🇪🇸 #Barcelona,en,898334126519992000,2017-08-18T00:02:00Z,851207426,Barcelona,fahad_4291,,1
"RT @messi10stats: 💙
1 BARCELONA
2 BARCELONA
4 BARCELONA
5 BARCELONA
10 BARCELONA
14 BARCELONA
16 BARCELONA
17 BARCELONA
18 BARCELONA… ",und,899335407556600000,2017-08-20T18:20:44Z,369674181,,lminil,899334974423188000,1
"RT @messi10stats: 💙
1 BARCELONA
2 BARCELONA
4 BARCELONA
5 BARCELONA
10 BARCELONA
14 BARCELONA
16 BARCELONA
17 BARCELONA
18 BARCELONA… ",und,899474176100024000,2017-08-21T03:32:09Z,106274274,,TH3M0R3N0,899334974423188000,1
"RT @messi10stats: 💙
1 BARCELONA
2 BARCELONA
4 BARCELONA
5 BARCELONA
10 BARCELONA
14 BARCELONA
16 BARCELONA
17 BARCELONA
18 BARCELONA… ",und,899335365617701000,2017-08-20T18:20:34Z,446063020,,abhi_pkh,899334974423188000,1
"RT @messi10stats: 💙
1 BARCELONA
2 BARCELONA
4 BARCELONA
5 BARCELONA
10 BARCELONA
14 BARCELONA
16 BARCELONA
17 BARCELONA
18 BARCELONA… ",und,899336170903142000,2017-08-20T18:23:46Z,219786888,,Eng_Delly,899334974423188000,1
"RT @messi10stats: 💙
1 BARCELONA
2 BARCELONA
4 BARCELONA
5 BARCELONA
10 BARCELONA
14 BARCELONA
16 BARCELONA
17 BARCELONA
18 BARCELONA… ",und,899338310006563000,2017-08-20T18:32:16Z,898943834025071000,,Pedrocaass,899334974423188000,1
#Barcelona #Barcelona https://t.co/68cC3SHrTy #barcelona,und,898637529913606000,2017-08-18T20:07:37Z,2842483768,"Barcelona,Barcelona,barcelona",uknewse,,1
hola barcelona,es,892887164287169000,2017-08-02T23:17:43Z,1042038392,,milashurricane,,1
Vamos Barcelona,es,895475876128846000,2017-08-10T02:44:20Z,4287047901,,LeandroMenech,,1
Viva Barcelona!!,es,895679530551182000,2017-08-10T16:13:35Z,139822273,,nelgui36,,1
"🕐 
Bang
 #Barcelona",in,895781921917207000,2017-08-10T23:00:27Z,543142508,Barcelona,RelojBarcelona,,1
Rip barcelona,en,897936112252887000,2017-08-16T21:40:26Z,4862856647,,1juanrestrepo,,1
LIVE: Deportivo vs Barcelona #Barcelona #Barcelona https://t.co/f6B6r2mUAm #barcelona,pt,898404158822163000,2017-08-18T04:40:17Z,2810050196,"Barcelona,Barcelona,barcelona",amandsst,,1
@NECROMANClNG BARCELONA,pt,898280695306617000,2017-08-17T20:29:41Z,2844950509,,alteanseunghyun,,1
#Barcelona #notemim!!!,und,898303101253304000,2017-08-17T21:58:43Z,882223101408367000,"Barcelona,notemim",fandelmejor60,,1
#PrayforBarcelona #Barcelona,und,898275330758070000,2017-08-17T20:08:22Z,869713769454285000,"PrayforBarcelona,Barcelona",arbaugh_dessie,,1
Still barcelona,en,898658182645641000,2017-08-18T21:29:41Z,895697907491492000,,YawTutu1,,1
Animo Barcelona,pt,898209966733001000,2017-08-17T15:48:38Z,1362245262,,Trianero_88,,1
Fuerza Barcelona😭,es,898222969079595000,2017-08-17T16:40:18Z,845627090,,LauraGDinero,,1
Oh Barcelona... 💔,en,898213661923320000,2017-08-17T16:03:19Z,89745779,,raquelfcustodio,,1
Forma Barcelona,und,898225036879954000,2017-08-17T16:48:31Z,54106245,,gonlizarraga,,1
#BarcelonaAttacks #barcelona,und,898965591586820000,2017-08-19T17:51:13Z,337520976,"BarcelonaAttacks,barcelona",Blaireokie,,1
Barcelona atentado,pt,899750744299057000,2017-08-21T21:51:08Z,2792741368,,1Laura2405,,1
BARCELONA BARDUUUU ❤️💙,pl,896857085606060000,2017-08-13T22:12:46Z,4878746482,,Alaa_Himdan21,,1
#Ramblas #Barcelona 🙏🏻,und,898259824428802000,2017-08-17T19:06:45Z,2779946712,"Ramblas,Barcelona",cacapaez304,,1
@soniagelma Barcelona ❤,pt,898240329312285000,2017-08-17T17:49:17Z,4193994161,,Letshaveabevvy,,1
Fuerza!#Barcelona,es,898241671464448000,2017-08-17T17:54:37Z,3308713624,Barcelona,alpaulsima,,1
I ❤️ Barcelona,en,898239750489899000,2017-08-17T17:46:59Z,33175000,,guillemfg,,1
"#barcelona 
Agony",en,898225867335315000,2017-08-17T16:51:49Z,295166219,barcelona,ASHERSONI,,1
"Barcelona, Spain",en,901194964822110000,2017-08-25T21:29:57Z,202730621,,GabrielMartin__,,1
BARCELONA LIXO,pt,897937177597936000,2017-08-16T21:44:40Z,4126163301,,sensewait,,1
Barcelona - DESTROYED! 🤦🏽‍♂️,en,897956815333245000,2017-08-16T23:02:42Z,414384576,,ZeeshanSayeedH,,1
Barcelona wya ? 😢,und,897949345290388000,2017-08-16T22:33:01Z,1582570819,,dennis_menac3,,1
Not Barcelona 😔😪,en,898346470369141000,2017-08-18T00:51:03Z,631761474,,janettramoss21,,1
Consternación 😥 #Barcelona,es,898345602139931000,2017-08-18T00:47:36Z,46648684,Barcelona,lufesa15,,1
Fuerza Barcelona!!!💪💪💙,es,898229419902460000,2017-08-17T17:05:56Z,3353998852,,henredo40,,1
Barcelona 🙏🏼❤️ #StopTerrorism,pt,898243357608116000,2017-08-17T18:01:19Z,408869604,StopTerrorism,OllieRichardsn,,1
#Barcelona speechless.,en,898239465289917000,2017-08-17T17:45:51Z,2729577040,Barcelona,katrinathememe,,1
"Jirre, Barcelona.",und,898229440882323000,2017-08-17T17:06:01Z,23319679,,Zombie_Phil,,1
ถ้าเทียบกับอาวุธอื่นๆสำหรับก่อการร้ายคือรถหาง่ายสุดแล้วอะ #Barcelona,th,898282976995230000,2017-08-17T20:38:45Z,237278709,Barcelona,bbumay,,1
"#Barcelona
@Pontifex_es
.........",und,898270909974201000,2017-08-17T19:50:48Z,184566527,Barcelona,peto1956,,1
#ForçaBarcelona #Barcelona,und,898279869020164000,2017-08-17T20:26:24Z,965166956,"ForçaBarcelona,Barcelona",CamaradaGroucho,,1
#Barcelona ❤️ #BarcelonaAttacks,und,898308985853313000,2017-08-17T22:22:06Z,247104999,"Barcelona,BarcelonaAttacks",starmerks,,1
Barcelona t'estime,en,898293332723475000,2017-08-17T21:19:54Z,268227903,,Nachobcn2,,1
#Barcelona #PrayforBarcelona,und,898272558348423000,2017-08-17T19:57:21Z,730805858188268000,"Barcelona,PrayforBarcelona",sannuuhh1908,,1
@ernestopiedras Barcelona,pt,897814670366700000,2017-08-16T13:37:52Z,30790735,,Jose_F_Otero,,1
@xshru Barcelona >,pt,895917368559448000,2017-08-11T07:58:40Z,2846488620,,iexcellin,,1
"Chelsea ✅
Barcelona ⏳",ro,899330097571926000,2017-08-20T17:59:38Z,436272695,,Joshhh______,,1
@valentrinity Barcelona 🙄,pt,901382907373245000,2017-08-26T09:56:46Z,74605874,,holameri,,1
Barcelona gelmiyorrrr,tr,900758811706831000,2017-08-24T16:36:50Z,3456677421,,burcuerezJK,,1
Adios barcelona 👋🏼🔚,es,894573626791522000,2017-08-07T14:59:07Z,624848314,,Maarionpltr,,1
Hola Barcelona,es,892715885693198000,2017-08-02T11:57:07Z,1573416361,,duaselmila,,1
CHEGA BARCELONA!!!!,pt,894637296321954000,2017-08-07T19:12:07Z,4855401753,,Dainara_CRF,,1
Bora Barcelona......😏😏,pt,895453885401268000,2017-08-10T01:16:57Z,635924276,,sueleide62,,1
